Board Size,Algorithm,Avg Execution Time,Std Execution Time,Avg States Explored,Std States Explored
4,mac,0.0016858418782552083,0.0007235968022336319,9,0.0
4,forward_checking,0.0008738994598388672,0.000574470269141428,9,0.0
8,mac,0.09495681921641032,0.008579045496568063,114,0.0
8,forward_checking,0.0335747241973877,0.004032513213862739,114,0.0
10,mac,0.1318550984064738,0.01671350888600078,103,0.0
10,forward_checking,0.047470657030741374,0.009699204131227334,103,0.0
12,mac,0.43009384473164874,0.022637232419488305,262,0.0
12,forward_checking,0.1377684513727824,0.0038114770555790906,262,0.0
